Date,Population,Cumm_Confirmed,Daily_New_Confirmed,Moving_Avg
6/25/20,7710663140,9577668,177632,161179
6/26/20,7710663140,9768761,191093,164118
6/27/20,7710663140,9946676,177915,168883
6/28/20,7710663140,10108290,161614,171794
6/29/20,7710663140,10266478,158188,172996
6/30/20,7710663140,10440098,173620,179635
7/1/20,7710663140,10657478,217380,183904
7/2/20,7710663140,10864994,207516,185656
7/3/20,7710663140,11068352,203358,187840
7/4/20,7710663140,11261558,193206,190850
7/5/20,7710663140,11444238,182680,192133
7/6/20,7710663140,11611412,167174,197432
7/7/20,7710663140,11822119,210707,196592
7/8/20,7710663140,12033621,211502,199534
7/9/20,7710663140,12261729,228108,203681
7/10/20,7710663140,12494121,232392,206948
7/11/20,7710663140,12710192,216071,208372
7/12/20,7710663140,12902844,192652,211995
7/13/20,7710663140,13095379,192535,213521
7/14/20,7710663140,13316768,221389,216309
7/15/20,7710663140,13547785,231017,219779
7/16/20,7710663140,13800185,252400,221138
7/17/20,7710663140,14042085,241900,224195
7/18/20,7710663140,14279555,237470,227336
7/19/20,7710663140,14494193,214638,229352
7/20/20,7710663140,14700844,206651,231057
7/21/20,7710663140,14934167,233323,238139
7/22/20,7710663140,15214758,280591,242441
7/23/20,7710663140,15497275,282517,248023
7/24/20,7710663140,15778245,280970,250455
7/25/20,7710663140,16032739,254494,256424
